Entity,Continent,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths,Daily cases,Daily deaths,Season
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-04-20,233.0,584.0,26.0,22,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-04-21,242.0,609.0,26.0,25,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-04-22,252.0,634.0,27.0,25,1,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-04-23,240.0,663.0,27.0,29,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-04-24,259.0,678.0,27.0,15,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-04-25,247.0,712.0,27.0,34,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-04-26,264.0,726.0,28.0,14,1,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-04-27,212.0,736.0,28.0,10,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-04-28,267.0,750.0,30.0,14,2,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-04-29,270.0,766.0,30.0,16,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-04-30,225.0,773.0,31.0,7,1,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-01,245.0,782.0,31.0,9,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-02,171.0,789.0,31.0,7,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-03,197.0,795.0,31.0,6,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-04,140.0,803.0,31.0,8,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-05-05,270.0,820.0,31.0,17,0,Spring
